"Type","Accession","Trait","root_path","full_path"
Immune_Cell,GCST90001591,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_201_32929287-GCST90001591-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001592,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_202_32929287-GCST90001592-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001593,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_203_32929287-GCST90001593-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001594,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_204_32929287-GCST90001594-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001595,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_205_32929287-GCST90001595-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001596,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_206_32929287-GCST90001596-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001597,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_207_32929287-GCST90001597-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001598,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_208_32929287-GCST90001598-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001599,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_209_32929287-GCST90001599-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001411,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_21_32929287-GCST90001411-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001600,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_210_32929287-GCST90001600-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001601,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_211_32929287-GCST90001601-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001602,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_212_32929287-GCST90001602-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001603,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_213_32929287-GCST90001603-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001604,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_214_32929287-GCST90001604-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001605,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_215_32929287-GCST90001605-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001606,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_216_32929287-GCST90001606-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001607,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_217_32929287-GCST90001607-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001608,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_218_32929287-GCST90001608-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001609,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_219_32929287-GCST90001609-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001412,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_22_32929287-GCST90001412-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001610,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_220_32929287-GCST90001610-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001611,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_221_32929287-GCST90001611-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001612,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_222_32929287-GCST90001612-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001613,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_223_32929287-GCST90001613-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001614,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_224_32929287-GCST90001614-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001615,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_225_32929287-GCST90001615-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001616,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_226_32929287-GCST90001616-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001617,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_227_32929287-GCST90001617-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001618,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_228_32929287-GCST90001618-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001619,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_229_32929287-GCST90001619-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001413,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_23_32929287-GCST90001413-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001620,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_230_32929287-GCST90001620-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001621,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_231_32929287-GCST90001621-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001622,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_232_32929287-GCST90001622-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001623,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_233_32929287-GCST90001623-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001624,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_234_32929287-GCST90001624-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001625,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_235_32929287-GCST90001625-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001626,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_236_32929287-GCST90001626-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001627,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_237_32929287-GCST90001627-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001628,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_238_32929287-GCST90001628-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001629,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_239_32929287-GCST90001629-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001414,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_24_32929287-GCST90001414-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001630,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_240_32929287-GCST90001630-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001631,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_241_32929287-GCST90001631-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001632,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_242_32929287-GCST90001632-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001633,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_243_32929287-GCST90001633-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001634,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_244_32929287-GCST90001634-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001635,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_245_32929287-GCST90001635-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001636,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_246_32929287-GCST90001636-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001637,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_247_32929287-GCST90001637-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001638,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_248_32929287-GCST90001638-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001639,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_249_32929287-GCST90001639-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001415,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_25_32929287-GCST90001415-EFO_0007937.h.tsv.gz
